pair_id,side,n,positives,average_precision,auroc,brier,alerts_at_10,precision_at_10,recall_at_10
uci320__portuguese__fail_g3_lt_10__baseline__socioeconomic_family,full,649,100,0.4124640815191373,0.7960837887067396,0.10983448623911463,66,0.4090909090909091,0.27
uci320__portuguese__fail_g3_lt_10__baseline__socioeconomic_family,restricted,649,100,0.4471784119420149,0.8124590163934426,0.10633855409273185,66,0.3787878787878788,0.25
uci320__portuguese__fail_g3_lt_10__period1__sex_gender,full,649,100,0.6631949152688829,0.9299271402550091,0.07200314203900375,66,0.5909090909090909,0.39
uci320__portuguese__fail_g3_lt_10__period1__sex_gender,restricted,649,100,0.6482232204453774,0.931111111111111,0.07287339128237105,66,0.5454545454545454,0.36
uci320__portuguese__fail_g3_lt_10__period1__socioeconomic_family,full,649,100,0.6631949152688829,0.9299271402550091,0.07200314203900375,66,0.5909090909090909,0.39
uci320__portuguese__fail_g3_lt_10__period1__socioeconomic_family,restricted,649,100,0.6606011422350072,0.9368670309653915,0.07155757119908789,66,0.5454545454545454,0.36
uci320__portuguese__fail_g3_lt_10__period2__sex_gender,full,649,100,0.8451159945515379,0.9587067395264117,0.05298300448980273,66,0.7272727272727273,0.48
uci320__portuguese__fail_g3_lt_10__period2__sex_gender,restricted,649,100,0.8502375040724366,0.9573224043715847,0.05089905762061866,66,0.7121212121212122,0.47
uci320__portuguese__fail_g3_lt_10__period2__socioeconomic_family,full,649,100,0.8451159945515379,0.9587067395264117,0.05298300448980272,66,0.7272727272727273,0.48
uci320__portuguese__fail_g3_lt_10__period2__socioeconomic_family,restricted,649,100,0.8421404431357298,0.9592896174863388,0.05394140867522255,66,0.6818181818181818,0.45
uci697__all__dropout_vs_all_other__enrollment__socioeconomic_family,full,4424,1421,0.7394280107011624,0.8209901756699786,0.14806697719880843,450,0.8688888888888889,0.27515833919774807
uci697__all__dropout_vs_all_other__enrollment__socioeconomic_family,restricted,4424,1421,0.5785946878024597,0.7463850950831951,0.1817531461867949,450,0.6511111111111111,0.20619282195636876
uci697__all__dropout_vs_all_other__semester1__socioeconomic_family,full,4424,1421,0.8565069008975503,0.9011122586069806,0.10475357679955513,450,0.9488888888888889,0.30049261083743845
uci697__all__dropout_vs_all_other__semester1__socioeconomic_family,restricted,4424,1421,0.8096140408136987,0.8729712698748588,0.12230383378276509,450,0.8955555555555555,0.2836030964109782
uci697__all__dropout_vs_graduate__enrollment__sex_gender,full,3630,1421,0.816398318852533,0.8508293593892811,0.14792173414384444,371,0.9110512129380054,0.2378606615059817
uci697__all__dropout_vs_graduate__enrollment__sex_gender,restricted,3630,1421,0.8128099062389651,0.8452648288987314,0.14963695209510813,371,0.9191374663072777,0.23997185080928923
uci697__all__dropout_vs_graduate__enrollment__socioeconomic_family,full,3630,1421,0.816398318852533,0.8508293593892811,0.14792173414384444,371,0.9110512129380054,0.2378606615059817
uci697__all__dropout_vs_graduate__enrollment__socioeconomic_family,restricted,3630,1421,0.6874957529988387,0.7761591391368368,0.18492014777698845,371,0.692722371967655,0.18085855031667838
uci697__all__dropout_vs_graduate__semester1__sex_gender,full,3630,1421,0.9308581323594359,0.9355276491889586,0.08270511719965512,371,0.9865229110512129,0.25756509500351865
uci697__all__dropout_vs_graduate__semester1__sex_gender,restricted,3630,1421,0.9301658513622074,0.9341635157052159,0.08406356423962724,371,0.9865229110512129,0.25756509500351865
uci697__all__dropout_vs_graduate__semester1__socioeconomic_family,full,3630,1421,0.9308581323594359,0.9355276491889586,0.08270511719965512,371,0.9865229110512129,0.25756509500351865
uci697__all__dropout_vs_graduate__semester1__socioeconomic_family,restricted,3630,1421,0.9085675970709914,0.9200758588195117,0.0959057242764449,371,0.9730458221024259,0.25404644616467276
