dataset,subject,outcome,stage,model,grid,policy,comparator,config_id,full_config_id,budget_fraction,restricted_precision,full_precision,precision_difference,restricted_recall,full_recall,recall_difference,true_alert_difference,false_alert_difference,alert_intersection,alert_union,alert_jaccard_vs_full,retained_full_alert_fraction
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_gender,full,day14__loo_no_gender__standard,day14__full__standard,0.2,0.6902086677367576,0.6918138041733547,-0.0016051364365970988,0.33204633204633205,0.3328185328185328,-0.0007722007722007485,-3,3,1815,1923,0.9438377535101404,0.971107544141252
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_gender,full,day14__loo_no_gender__standard,day14__full__standard,0.3,0.6448965024982155,0.6434689507494646,0.001427551748750866,0.4651222651222651,0.4640926640926641,0.001029601029601035,4,-4,2733,2871,0.9519331243469175,0.9753747323340471
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_highest_education,full,day14__loo_no_highest_education__standard,day14__full__standard,0.05,0.7761194029850746,0.8017057569296375,-0.02558635394456288,0.0936936936936937,0.09678249678249679,-0.003088803088803091,-12,12,327,611,0.5351882160392799,0.697228144989339
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_highest_education,full,day14__loo_no_highest_education__standard,day14__full__standard,0.1,0.7229946524064171,0.7572192513368984,-0.03422459893048124,0.174002574002574,0.18223938223938224,-0.008236808236808252,-32,32,704,1166,0.6037735849056604,0.7529411764705882
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_highest_education,full,day14__loo_no_highest_education__standard,day14__full__standard,0.2,0.671482075976458,0.6918138041733547,-0.02033172819689666,0.323037323037323,0.3328185328185328,-0.009781209781209776,-38,38,1472,2266,0.649602824360106,0.7875869448903157
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_highest_education,full,day14__loo_no_highest_education__standard,day14__full__standard,0.3,0.6324054246966453,0.6434689507494646,-0.01106352605281935,0.4561132561132561,0.4640926640926641,-0.007979407979407993,-31,31,2300,3304,0.6961259079903148,0.820842255531763
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_imd_band,full,day14__loo_no_imd_band__standard,day14__full__standard,0.05,0.7803837953091685,0.8017057569296375,-0.021321961620469065,0.09420849420849421,0.09678249678249679,-0.0025740025740025735,-10,10,385,553,0.6962025316455697,0.8208955223880597
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_imd_band,full,day14__loo_no_imd_band__standard,day14__full__standard,0.1,0.7529411764705882,0.7572192513368984,-0.004278074866310155,0.1812097812097812,0.18223938223938224,-0.001029601029601035,-4,4,809,1061,0.76248821866164,0.8652406417112299
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_imd_band,full,day14__loo_no_imd_band__standard,day14__full__standard,0.2,0.6902086677367576,0.6918138041733547,-0.0016051364365970988,0.33204633204633205,0.3328185328185328,-0.0007722007722007485,-3,3,1663,2075,0.8014457831325301,0.889780631353665
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_imd_band,full,day14__loo_no_imd_band__standard,day14__full__standard,0.3,0.6377587437544611,0.6434689507494646,-0.005710206995003575,0.45997425997425995,0.4640926640926641,-0.00411840411840414,-16,16,2511,3093,0.8118331716779825,0.8961456102783726
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_region,full,day14__loo_no_region__standard,day14__full__standard,0.05,0.7974413646055437,0.8017057569296375,-0.004264392324093813,0.09626769626769627,0.09678249678249679,-0.0005148005148005175,-2,2,428,510,0.8392156862745098,0.9125799573560768
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_region,full,day14__loo_no_region__standard,day14__full__standard,0.1,0.7529411764705882,0.7572192513368984,-0.004278074866310155,0.1812097812097812,0.18223938223938224,-0.001029601029601035,-4,4,874,996,0.8775100401606426,0.9347593582887701
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_region,full,day14__loo_no_region__standard,day14__full__standard,0.2,0.6971642589620117,0.6918138041733547,0.005350454788657033,0.3353925353925354,0.3328185328185328,0.0025740025740025874,10,-10,1759,1979,0.8888327438100051,0.9411449973247726
