dataset,subject,outcome,stage,model,grid,policy,comparator,config_id,full_config_id,metric,restricted,full,difference
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_disability,full,day42__loo_no_disability__standard,day42__full__standard,average_precision,0.6919890626216849,0.6943168428968944,-0.0023277802752095234
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_disability,full,day42__loo_no_disability__standard,day42__full__standard,auroc,0.757803755122146,0.7603274961870287,-0.002523741064882623
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_disability,full,day42__loo_no_disability__standard,day42__full__standard,brier,0.19181632551600394,0.19092349066529288,0.0008928348507110662
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_gender,full,day42__loo_no_gender__standard,day42__full__standard,average_precision,0.694313208676182,0.6943168428968944,-3.634220712478431e-06
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_gender,full,day42__loo_no_gender__standard,day42__full__standard,auroc,0.7598310581649954,0.7603274961870287,-0.000496438022033252
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_gender,full,day42__loo_no_gender__standard,day42__full__standard,brier,0.1911405663636373,0.19092349066529288,0.00021707569834442109
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_highest_education,full,day42__loo_no_highest_education__standard,day42__full__standard,average_precision,0.6835554388784935,0.6943168428968944,-0.010761404018400977
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_highest_education,full,day42__loo_no_highest_education__standard,day42__full__standard,auroc,0.7509547003053649,0.7603274961870287,-0.009372795881663731
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_highest_education,full,day42__loo_no_highest_education__standard,day42__full__standard,brier,0.19446951814904784,0.19092349066529288,0.00354602748375496
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_imd_band,full,day42__loo_no_imd_band__standard,day42__full__standard,average_precision,0.6925545347142563,0.6943168428968944,-0.001762308182638117
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_imd_band,full,day42__loo_no_imd_band__standard,day42__full__standard,auroc,0.7571543584471223,0.7603274961870287,-0.003173137739906351
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_imd_band,full,day42__loo_no_imd_band__standard,day42__full__standard,brier,0.19206587520726306,0.19092349066529288,0.0011423845419701872
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_region,full,day42__loo_no_region__standard,day42__full__standard,average_precision,0.6960559110687592,0.6943168428968944,0.001739068171864755
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_region,full,day42__loo_no_region__standard,day42__full__standard,auroc,0.7609032517853871,0.7603274961870287,0.0005757555983584295
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_region,full,day42__loo_no_region__standard,day42__full__standard,brier,0.19057448433434143,0.19092349066529288,-0.00034900633095144573
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,minimized,full,day42__minimized__standard,day42__full__standard,average_precision,0.6798489265535432,0.6943168428968944,-0.014467916343351206
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,minimized,full,day42__minimized__standard,day42__full__standard,auroc,0.7460854142392386,0.7603274961870287,-0.014242081947790086
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,minimized,full,day42__minimized__standard,day42__full__standard,brier,0.19599203381260044,0.19092349066529288,0.005068543147307564
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,partial_gender_disability,full,day42__partial_gender_disability__standard,day42__full__standard,average_precision,0.693443223387538,0.6943168428968944,-0.0008736195093563826
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,partial_gender_disability,full,day42__partial_gender_disability__standard,day42__full__standard,auroc,0.7585028083842821,0.7603274961870287,-0.001824687802746583
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,partial_gender_disability,full,day42__partial_gender_disability__standard,day42__full__standard,brier,0.19149531634549874,0.19092349066529288,0.0005718256802058619
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_enriched_due_process,full,day42__strict_enriched_due_process__standard,day42__full__standard,average_precision,0.613931026698316,0.6943168428968944,-0.08038581619857843
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_enriched_due_process,full,day42__strict_enriched_due_process__standard,day42__full__standard,auroc,0.7041651034984422,0.7603274961870287,-0.05616239268858647
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_enriched_due_process,full,day42__strict_enriched_due_process__standard,day42__full__standard,brier,0.2094740664419571,0.19092349066529288,0.01855057577666422
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_original,full,day42__strict_original__standard,day42__full__standard,average_precision,0.588303512891946,0.6943168428968944,-0.10601333000494839
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_original,full,day42__strict_original__standard,day42__full__standard,auroc,0.6726999334775607,0.7603274961870287,-0.08762756270946792
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_original,full,day42__strict_original__standard,day42__full__standard,brier,0.21642465516273884,0.19092349066529288,0.025501164497445966
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_typed_alternative,full,day42__strict_typed_alternative__standard,day42__full__standard,average_precision,0.5945290957298294,0.6943168428968944,-0.09978774716706507
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_typed_alternative,full,day42__strict_typed_alternative__standard,day42__full__standard,auroc,0.683228152738139,0.7603274961870287,-0.07709934344888969
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_typed_alternative,full,day42__strict_typed_alternative__standard,day42__full__standard,brier,0.2137626720706818,0.19092349066529288,0.02283918140538893
