dataset,subject,outcome,stage,model,grid,policy,comparator,config_id,full_config_id,budget_fraction,restricted_precision,full_precision,precision_difference,restricted_recall,full_recall,recall_difference,true_alert_difference,false_alert_difference,alert_intersection,alert_union,alert_jaccard_vs_full,retained_full_alert_fraction
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,minimized,full,day42__minimized__standard,day42__full__standard,0.2,0.7355052457205964,0.7404748757592491,-0.004969630038652695,0.3716517857142857,0.37416294642857145,-0.002511160714285754,-9,9,1503,2119,0.7092968381311939,0.8299282164549973
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,minimized,full,day42__minimized__standard,day42__full__standard,0.3,0.658321060382916,0.6734167893961709,-0.015095729013254844,0.49888392857142855,0.5103236607142857,-0.01143973214285715,-41,41,2313,3119,0.7415838409746713,0.851620029455081
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,partial_gender_disability,full,day42__partial_gender_disability__standard,day42__full__standard,0.05,0.9057017543859649,0.9035087719298246,0.002192982456140302,0.115234375,0.11495535714285714,0.0002790178571428631,1,-1,427,485,0.8804123711340206,0.9364035087719298
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,partial_gender_disability,full,day42__partial_gender_disability__standard,day42__full__standard,0.1,0.8425110132158591,0.8469162995594713,-0.004405286343612258,0.21344866071428573,0.21456473214285715,-0.0011160714285714246,-4,4,871,945,0.9216931216931217,0.9592511013215859
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,partial_gender_disability,full,day42__partial_gender_disability__standard,day42__full__standard,0.2,0.7415792379900608,0.7404748757592491,0.001104362230811673,0.37472098214285715,0.37416294642857145,0.0005580357142856984,2,-2,1757,1865,0.9420911528150134,0.9701822197680839
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,partial_gender_disability,full,day42__partial_gender_disability__standard,day42__full__standard,0.3,0.6712076583210603,0.6734167893961709,-0.0022091310751105597,0.5086495535714286,0.5103236607142857,-0.0016741071428570953,-6,6,2650,2782,0.9525521207764198,0.975699558173785
oulad,all,future_fail_or_withdrawn,day56,histgb,standard,minimized,full,day56__minimized__standard,day56__full__standard,0.05,0.9484304932735426,0.9506726457399103,-0.0022421524663677195,0.12368421052631579,0.1239766081871345,-0.000292397660818719,-1,1,338,554,0.6101083032490975,0.757847533632287
oulad,all,future_fail_or_withdrawn,day56,histgb,standard,minimized,full,day56__minimized__standard,day56__full__standard,0.1,0.903370786516854,0.9,0.003370786516853963,0.23508771929824562,0.23421052631578948,0.0008771929824561431,3,-3,781,999,0.7817817817817818,0.8775280898876404
oulad,all,future_fail_or_withdrawn,day56,histgb,standard,minimized,full,day56__minimized__standard,day56__full__standard,0.2,0.7800899887514061,0.7896512935883014,-0.009561304836895324,0.40555555555555556,0.4105263157894737,-0.004970760233918126,-17,17,1590,1966,0.8087487283825026,0.8942632170978627
oulad,all,future_fail_or_withdrawn,day56,histgb,standard,minimized,full,day56__minimized__standard,day56__full__standard,0.3,0.6635408852213053,0.6834208552138035,-0.019879969992498192,0.5172514619883041,0.5327485380116959,-0.015497076023391787,-53,53,2254,3078,0.7322936972059779,0.8454613653413353
