dataset,subject,outcome,stage,policy,model,grid,analysis_group,config_id,source_prediction_sha256,n,risk_cases,prevalence,average_precision,auroc,brier,exploratory
oulad,all,future_fail_or_withdrawn,day42,minimized,histgb,standard,main,day42__minimized__standard,0e0c26dd2c8b6a7d272a6c3e1d4fc9ac17f4eb60e104910c114b4a530bb47255,9040,3584,0.39646017699115044,0.6798489265535432,0.7460854142392386,0.19599203381260044,
oulad,all,future_fail_or_withdrawn,day42,partial_gender_disability,histgb,standard,main,day42__partial_gender_disability__standard,df5582fbee189c267d52e210c40b64d43ce871f7cf5e4b4877b30a823dd372df,9040,3584,0.39646017699115044,0.693443223387538,0.7585028083842821,0.19149531634549874,
oulad,all,future_fail_or_withdrawn,day42,strict_enriched_due_process,histgb,expanded,strict,day42__strict_enriched_due_process__expanded,aa152a9dff81ea143865da8f07d3513dfb018f574413a202ed827a116155f660,9040,3584,0.39646017699115044,0.613931026698316,0.7041651034984422,0.2094740664419571,
oulad,all,future_fail_or_withdrawn,day42,strict_enriched_due_process,histgb,standard,strict,day42__strict_enriched_due_process__standard,6a0cc6080cc10d3ad6bc95d6b1d6c0fb89581e185081ce84cc728c88250bc312,9040,3584,0.39646017699115044,0.613931026698316,0.7041651034984422,0.2094740664419571,
oulad,all,future_fail_or_withdrawn,day42,strict_original,histgb,expanded,strict,day42__strict_original__expanded,a705a18c6ec3c266ed5b5d23ba8adf3c35290549548ccb845cc91a5658fea140,9040,3584,0.39646017699115044,0.588303512891946,0.6726999334775607,0.21642465516273884,
oulad,all,future_fail_or_withdrawn,day42,strict_original,histgb,standard,strict,day42__strict_original__standard,ee474465168612d97695378577a984f4754921e25dd80c1be2bb30ca4de30c39,9040,3584,0.39646017699115044,0.588303512891946,0.6726999334775607,0.21642465516273884,
oulad,all,future_fail_or_withdrawn,day42,strict_typed_alternative,histgb,expanded,strict,day42__strict_typed_alternative__expanded,afec5594c81992ee1da272bb4ba0a2c17aa78a536002fbd831949f8a6a4c784c,9040,3584,0.39646017699115044,0.5945290957298294,0.683228152738139,0.2137626720706818,
oulad,all,future_fail_or_withdrawn,day42,strict_typed_alternative,histgb,standard,strict,day42__strict_typed_alternative__standard,39f0cdb48c4f7a2bba2d83542fb1ac59a05f66f7945c3a71deda2631b30513fa,9040,3584,0.39646017699115044,0.5945290957298294,0.683228152738139,0.2137626720706818,
oulad,all,future_fail_or_withdrawn,day56,full,histgb,standard,main,day56__full__standard,f52dc31c8bed8da27982c6dd0a95518340b1fe1e212605e805f3f6974d779289,8877,3420,0.38526529232848933,0.7237203553135708,0.781315028607497,0.18189666440005575,
oulad,all,future_fail_or_withdrawn,day56,minimized,histgb,standard,main,day56__minimized__standard,2cd6e084a9873d0d9d22a93a5a51a642742e54839fbcac0b22d211c33451c674,8877,3420,0.38526529232848933,0.7136650096397279,0.7706228225563604,0.1859511481465748,
oulad,all,future_fail_or_withdrawn,day56,partial_gender_disability,histgb,standard,main,day56__partial_gender_disability__standard,8ed40bd6864f7037c6961e573ae032d142b0d6cb4a3c350c1c16d49c28e1e9b2,8877,3420,0.38526529232848933,0.7230436726240467,0.7802045658401088,0.18233167499938985,
oulad,all,future_fail_or_withdrawn,day70,full,histgb,standard,main,day70__full__standard,ab7483b0b2298ae14ae4d5981703c00df2b4b2ebf16bb4ff1065fcf21b36e47f,8694,3237,0.3723257418909593,0.7378132033622132,0.7914716052578111,0.17302682127509672,
oulad,all,future_fail_or_withdrawn,day70,minimized,histgb,standard,main,day70__minimized__standard,929a835b95fed2655e1150c9f34f64cfedbc71fcdba0a9f8b645e135bcdb3d1f,8694,3237,0.3723257418909593,0.7292417850889461,0.7829200394988562,0.1761858589983426,
oulad,all,future_fail_or_withdrawn,day70,partial_gender_disability,histgb,standard,main,day70__partial_gender_disability__standard,673d7f4778c9bfedbb5de4288c4a57311a48344705452cd8d62edea8be9c5f60,8694,3237,0.3723257418909593,0.7369349394555619,0.7909365149805747,0.17330371962078667,
oulad,all,future_fail_or_withdrawn,day90,full,histgb,standard,main,day90__full__standard,efa8d52e02e4bfa1186ea2b545a7087d2816e0d3104fc219294e113aa63e2889,8532,3075,0.36040787623066106,0.7321889652243373,0.7926866812373456,0.1703788464442281,
oulad,all,future_fail_or_withdrawn,day90,minimized,histgb,standard,main,day90__minimized__standard,191e88e56eacf2d9664f39c251a82fbe88899019f9a4948e4da88e70c6d3b939,8532,3075,0.36040787623066106,0.7257105036229439,0.7861568120903859,0.1724454581935457,
oulad,all,future_fail_or_withdrawn,day90,partial_gender_disability,histgb,standard,main,day90__partial_gender_disability__standard,9e8dacd752a8c2d1fc878a2e24c998f36bd8f2840a525e7c54c711bcafd81dc6,8532,3075,0.36040787623066106,0.7317700172566144,0.7923035826290095,0.17063438416849533,
uci320,mathematics,fail_g3_lt_10,baseline,full,histgb,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.4324340311527223,0.6181712626995646,0.21581566626421766,False
uci320,mathematics,fail_g3_lt_10,baseline,full,logistic,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__baseline__full__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.45089903762114153,0.6375616835994196,0.2134915837461124,False
