analysis_source,dataset,subject,outcome,stage,model,grid,contrast_name,contrast_id,family_id,tier,replicates,family_stage_count,metric,budget_fraction,family_size,draw_file,draw_key,estimate,pointwise_ci95_low,pointwise_ci95_high,familywise_bonferroni_low,familywise_bonferroni_high,bootstrap_sign_p_two_sided,bonferroni_adjusted_sign_p,familywise_excludes_zero
C14B_frozen,oulad,all,future_fail_or_withdrawn,day42,histgb,standard,minimized,c14b__day42__minimized__standard__minus__day42__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.3,24,draws/task_b708eb63559e33ef5cce.npz,c006__precision_difference__0.30,-0.015095729013254844,-0.025792426323650954,-0.004056009821606191,-0.03157216009273382,0.0018417150984469804,0.010797840431913617,0.2591481703659268,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day56,histgb,standard,minimized,c14b__day56__minimized__standard__minus__day56__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.05,24,draws/task_e242be323d1e7971511e.npz,c000__precision_difference__0.05,-0.0022421524663677195,-0.020179372197309364,0.020134228187919545,-0.03355704697986572,0.03130541864746452,1.0,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day56,histgb,standard,minimized,c14b__day56__minimized__standard__minus__day56__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.1,24,draws/task_e242be323d1e7971511e.npz,c000__precision_difference__0.10,0.003370786516853963,-0.013437849944008876,0.01677852348993281,-0.021362383889724244,0.023590016109913108,0.854629074185163,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day56,histgb,standard,minimized,c14b__day56__minimized__standard__minus__day56__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.2,24,draws/task_e242be323d1e7971511e.npz,c000__precision_difference__0.20,-0.009561304836895324,-0.018591549295774668,0.004494382022471879,-0.02514805433608957,0.011258430681357132,0.2531493701259748,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day56,histgb,standard,minimized,c14b__day56__minimized__standard__minus__day56__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.3,24,draws/task_e242be323d1e7971511e.npz,c000__precision_difference__0.30,-0.019879969992498192,-0.030746156730408702,-0.008252063015753985,-0.036973122180938824,-0.002997419969878208,0.0011997600479904018,0.028794241151769644,True
C14B_frozen,oulad,all,future_fail_or_withdrawn,day70,histgb,standard,minimized,c14b__day70__minimized__standard__minus__day70__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.05,24,draws/task_b8d7ef2aa7b4cb076770.npz,c000__precision_difference__0.05,0.006849315068493067,-0.013729977116704761,0.015981735159817267,-0.022831050228310557,0.024572104357798302,0.9998000399920016,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day70,histgb,standard,minimized,c14b__day70__minimized__standard__minus__day70__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.1,24,draws/task_b8d7ef2aa7b4cb076770.npz,c000__precision_difference__0.10,-0.004581901489117968,-0.015999999999999907,0.005720823798627039,-0.021783817084309716,0.011452036932187994,0.40111977604479104,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day70,histgb,standard,minimized,c14b__day70__minimized__standard__minus__day70__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.2,24,draws/task_b8d7ef2aa7b4cb076770.npz,c000__precision_difference__0.20,-0.0068846815834767705,-0.020595555450706595,0.0034384447043978575,-0.026388142538480645,0.009041941663946751,0.1739652069586083,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day70,histgb,standard,minimized,c14b__day70__minimized__standard__minus__day70__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.3,24,draws/task_b8d7ef2aa7b4cb076770.npz,c000__precision_difference__0.30,-0.015319800842588993,-0.025297048677654258,-0.0026881462448145603,-0.032038402801916104,0.004122137893381535,0.017996400719856028,0.43191361727654465,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day90,histgb,standard,minimized,c14b__day90__minimized__standard__minus__day90__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.05,24,draws/task_1152ad78c73405c9b109.npz,c000__precision_difference__0.05,-0.002331002331002363,-0.013953488372092981,0.004662004662004726,-0.020930232558139528,0.01162231447508042,0.7434513097380524,1.0,False
