dataset,subject,target_field,stages,minimum_auroc,maximum_auroc,minimum_ap_lift,maximum_ap_lift,minimum_balanced_accuracy,maximum_balanced_accuracy
oulad,all,disability,6,0.6629498703084586,0.6803991187445921,1.5181024206114169,1.6799091496439924,0.6153919347683023,0.6411438024341249
oulad,all,gender,6,0.6903052580496859,0.812328029078547,1.3121132148905714,1.4324298758260063,0.6663417116988819,0.7502008972108445
uci320,mathematics,sex,3,0.7456807897984369,0.7499228712464007,1.4982910525348914,1.5032685590123709,0.6582039284245167,0.6696575483340189
uci320,portuguese,sex,3,0.7336029368460315,0.7342802175150671,1.627480203596416,1.6428388748571066,0.6432595849938161,0.6638822905828541
uci697,all,Educational special needs,2,0.6371727019498608,0.6553272980501393,1.7702176333816024,1.8839176243569111,0.5751740947075209,0.590633704735376
uci697,all,Gender,2,0.7706496150301172,0.7736968239017925,1.887858714551836,1.9021807867419729,0.694961008706167,0.7007622057326668
