dataset,subject,stage,target_field,positive_class,model,config_id,threshold_median,threshold_min,threshold_max,evaluation_cohort,n,positive_cases,prevalence,auroc,average_precision,ap_lift_over_prevalence,balanced_accuracy,brier,constant_prevalence_brier
oulad,all,day90,gender,M,logistic,oulad__day90__gender__logistic,0.44351037808862004,0.44351037808862004,0.44351037808862004,unseen_student_2014J,7886,4439,0.5628962718742074,0.8178234394574608,0.8229953542425072,1.4620728460365877,0.7510487880290432,0.16586690634305934,0.24604405898432577
oulad,all,day90,gender,M,histgb,oulad__day90__gender__histgb,0.5280681278135255,0.5280681278135255,0.5280681278135255,all_2014J,8532,4905,0.5748945147679325,0.8195353851662424,0.8288337874927967,1.44171455145536,0.7542387243482243,0.16247018925020582,0.24439081165767593
oulad,all,day90,gender,M,histgb,oulad__day90__gender__histgb,0.5280681278135255,0.5280681278135255,0.5280681278135255,unseen_student_2014J,7886,4439,0.5628962718742074,0.8204849896737081,0.8246869126222918,1.465077943892632,0.755825069783592,0.16404057154444407,0.24604405898432577
oulad,all,day90,disability,Y,logistic,oulad__day90__disability__logistic,0.0910360589229315,0.0910360589229315,0.0910360589229315,all_2014J,8532,761,0.08919362400375058,0.6781857341837157,0.14765043088426638,1.6553922159061245,0.6312592676264781,0.07942893532469558,0.08123812144082816
oulad,all,day90,disability,Y,logistic,oulad__day90__disability__logistic,0.0910360589229315,0.0910360589229315,0.0910360589229315,unseen_student_2014J,7886,677,0.08584833882830332,0.6742466386080258,0.13780272257315956,1.6051879914504228,0.6280098137626671,0.07714668072667305,0.07847840154872415
oulad,all,day90,disability,Y,histgb,oulad__day90__disability__histgb,0.06822504444470374,0.06822504444470374,0.06822504444470374,all_2014J,8532,761,0.08919362400375058,0.6635229096487479,0.14353690194530724,1.609273124043839,0.623882452549837,0.07963203245109855,0.08123812144082816
oulad,all,day90,disability,Y,histgb,oulad__day90__disability__histgb,0.06822504444470374,0.06822504444470374,0.06822504444470374,unseen_student_2014J,7886,677,0.08584833882830332,0.6556417558635982,0.13225973202979546,1.5406207485774992,0.6213835364583046,0.07740230359343975,0.07847840154872415
uci697,all,enrollment,Gender,1,logistic,uci697__all__enrollment__gender__logistic,0.37639008993288414,0.2967188406784655,0.4093059598734418,all_oof,3630,1249,0.3440771349862259,0.7706496150301172,0.649569017761775,1.8878587145518362,0.694961008706167,0.17819813803849643,0.22568806016589635
uci697,all,enrollment,Gender,1,histgb,uci697__all__enrollment__gender__histgb,0.369151214550578,0.26238781573727005,0.4204538070463587,all_oof,3630,1249,0.3440771349862259,0.7653709696022254,0.6464373890762918,1.878757183624451,0.6915027191850078,0.18042298536678586,0.22568806016589635
uci697,all,enrollment,Educational special needs,1,logistic,uci697__all__enrollment__educational_special_needs__logistic,0.006583345380494395,0.0007198718770825052,0.023573631053738303,all_oof,3630,40,0.011019283746556474,0.6371727019498608,0.01950653039538956,1.7702176333816024,0.590633704735376,0.011130586285172349,0.010897859132269351
